게임 이름,할인 시작일,플랫폼 이름,할인율,원가,할인가
xcom-2,2025-07-30,Noctre,0%,83435,83435
xcom-2,2025-07-26,GamersGate,95%,82862,4144
xcom-2,2025-07-26,GreenManGaming,95%,65000,3000
xcom-2,2025-07-25,Steam,95%,62300,3110
xcom-2,2025-07-24,GameBillet,96%,83435,3713
xcom-2,2025-07-23,IndieGala Store,95%,83435,4159
xcom-2,2025-07-23,GameBillet,95%,83435,4172
xcom-2,2025-07-23,GamersGate,95%,83152,4158
xcom-2,2025-07-23,Noctre,95%,83435,4145
xcom-2,2025-07-23,AllYouPlay,95%,83435,4172
xcom-2,2025-07-19,GreenManGaming,0%,65000,65000
xcom-2,2025-07-18,2game,0%,62300,62300
xcom-2,2025-07-18,WinGameStore,12%,83435,73700
xcom-2,2025-07-18,GamesPlanet US,10%,83435,75090
xcom-2,2025-07-18,Humble Store,95%,83435,4159
xcom-2,2025-07-18,Epic Game Store,95%,62300,3110
xcom-2,2025-07-14,GreenManGaming,95%,65000,3000
xcom-2,2025-07-13,AllYouPlay,0%,83435,83435
xcom-2,2025-07-13,GameBillet,17%,83435,69221
xcom-2,2025-07-13,GamersGate,0%,82486,82486
xcom-2,2025-07-13,Noctre,0%,83435,83435
xcom-2,2025-07-11,GreenManGaming,0%,65000,65000
xcom-2,2025-07-11,Steam,0%,62300,62300
xcom-2,2025-06-28,GameBillet,96%,83435,3602
xcom-2,2025-06-28,Noctre,95%,83435,4145
xcom-2,2025-06-28,GamersGate,95%,81635,4082
xcom-2,2025-06-28,AllYouPlay,95%,83435,4172
xenonauts-2,2025-07-28,GOG,0%,55619,55619
xenonauts-2,2025-07-25,GamesPlanet FR,35%,63678,41385
xenonauts-2,2025-07-25,GamesPlanet DE,35%,63678,41385
xenonauts-2,2025-07-25,GamesPlanet US,35%,55619,36147
xenonauts-2,2025-07-25,GamesPlanet UK,35%,64557,41956
xenonauts-2,2025-07-25,Steam,0%,39900,39900
xenonauts-2,2025-07-18,GameBillet,1%,55619,55063
xenonauts-2,2025-07-18,2game,0%,39900,39900
xenonauts-2,2025-07-18,Humble Store,0%,55619,55619
xenonauts-2,2025-07-18,GameBillet,0%,55619,55619
xenonauts-2,2025-07-17,GOG,35%,55619,36147
xenonauts-2,2025-07-15,Fanatical,10%,55619,50056
xenonauts-2,2025-07-14,Fanatical,0%,55619,55619
xenonauts-2,2025-07-13,AllYouPlay,0%,55619,55619
xenonauts-2,2025-07-13,Playsum,0%,55619,55619
xenonauts-2,2025-07-11,Humble Store,35%,55619,36147
xenonauts-2,2025-07-10,GOG,0%,55619,55619
xenonauts-2,2025-07-02,GameBillet,39%,55619,34159
xenonauts-2,2025-07-02,GameBillet,33%,55619,36996
xenonauts-2,2025-07-01,Playsum,41%,55619,33046
xenonauts-2,2025-06-30,GameBillet,38%,55619,34214
xenonauts-2,2025-06-30,GameBillet,33%,55619,37051
xenonauts-2,2025-06-29,GameBillet,38%,55619,34270
xenonauts-2,2025-06-29,GameBillet,33%,55619,37121
xenonauts-2,2025-06-29,Playsum,40%,55619,33157
xenonauts-2,2025-06-28,GameBillet,38%,55619,34339
xenonauts-2,2025-06-28,Playsum,37%,55619,34910
xenonauts-2,2025-06-28,AllYouPlay,35%,55619,36147
xenonauts-2,2025-06-28,Fanatical,35%,55619,36147
xenonauts-2,2025-06-28,Playsum,35%,55619,36147
xenonauts-2,2025-06-27,Steam,35%,39900,25930
xenonauts-2,2025-06-27,2game,35%,39900,25935
xenonauts-2,2025-06-27,GameBillet,35%,55619,36147
